고용인원,투자유치횟수,서비스/제품 수,연간 퇴사율,공동 창업자 수,총 투자자 수,특허기술 평균등급,최종투자단계,투자점수,자본금(만원),누적투자유치금액(만원),연매출(만원),매출액_2020(만원),매출액_2021(만원),영업이익_2020(만원),영업이익_2021(만원),순이익_2020(만원),순이익_2021(만원),자산_2020(만원),자산_2021(만원),자본_2020(만원),자본_2021(만원),2022기준 시장규모(만원),최근투자유치(만원),년차,자본잠식률,주소 점수
26,4,2,61,1,5,3.0,pre-A,49,7062,25000,163000,87000,157000,363,1213,16000,359,104000,170000,37000,37000,19620000000,10000,8,-423.93,10
10,2,2,35,1,3,0.0,pre-A,13,2265,80000,1443,650,1443,-15000,-19000,-14000,-14000,2799,20000,-19000,-12000,5080000000,50000,4,629.8,8
12,3,1,88,1,4,2.0,pre-A,81,12000,90000,20,20,100,-23000,-57000,-15000,-25000,13000,67000,844,45000,80430000000,20000,4,-275.0,8
8,3,1,0,1,3,0.0,pre-A,8,6470,100000,49000,512,9032,-11000,-36000,-10000,-37000,46000,46000,-10000,-10000,380060000000,100000,4,254.56,4
24,1,1,34,1,2,0.0,seed,3,16000,60000,472000,597000,423000,25000,5717,1658,1563,105000,124000,3841,5405,81010000000,60000,9,66.22,7
4,2,0,46,1,2,0.0,seed,1,24000,60000,52000,44000,52000,-6405,1311,-6476,700,14000,112000,5886,65000,18470000000,50000,4,-170.83,5
14,1,1,45,1,3,0.0,pre-A,4,456000,500000,5643,900,5643,-35000,-45000,-10000,-47000,25000,460000,3708,456000,190010000000,500000,4,0.0,7
4,1,1,192,1,2,2.0,seed,31,3807,70000,4311,2800,4311,-12000,-11000,-6095,-10000,1778,59000,-6047,53000,4710000000,70000,4,-1292.17,6
23,2,0,10,1,2,0.0,seed,4,1309,100000,8517,3702,0,-29000,-49000,-4831,3840,89000,110000,46000,63000,4060000000,50000,4,-4712.83,4
31,1,0,93,1,2,0.0,seed,5,5571,40000,12000,14000,12000,-372,-78000,163,-35000,18000,42000,5163,9393,34530000000,40000,3,-68.61,12
5,3,2,99,1,3,0.0,pre-A,111,129,100000,20000,12000,20000,-18000,-37000,-15000,-36000,3620,47000,-17000,25000,25480000000,50000,5,-19279.84,10
12,1,1,16,1,1,4.2,pre-A,31,30000,300000,7002,9864,9184,-65000,-196000,-64000,-204000,49000,171000,24000,120000,7290000000,300000,7,-300.0,7
23,1,1,36,1,1,0.0,seed,1,54000,220000,144000,80000,26000,-17000,-122000,-20000,-124000,39000,53000,29000,45000,5680000000,220000,7,16.67,10
3,2,2,0,1,2,0.0,seed,150,8184,80000,17000,7644,7518,-38000,-40000,-26000,-25000,10000,20000,-25000,-31000,4079999999,50000,5,478.79,12
33,1,3,27,1,1,6.5,pre-A,30,13000,50000,231000,45000,89000,-35000,-69000,-12000,-64000,115000,161000,72000,57000,7109999999,50000,10,-338.46,6
15,2,1,165,1,2,0.0,seed,3,11000,40000,26000,763,29000,-48000,-106000,-21000,48000,46000,90000,2200,70000,25650000000,20000,4,-536.36,4
3,1,3,30,1,1,0.0,seed,60,500,40000,71000,2891,48000,-2469,-21000,-2472,-21000,4997,23000,-1972,-23000,17770000000,40000,3,4700.0,12
9,1,1,28,1,1,0.0,seed,30,27000,50000,3959,3959,0,1397,-2066,2033,-752,47000,76000,46000,27000,25650000000,50000,5,0.0,7
2,1,1,72,1,1,0.0,seed,3,1111,10000,4505,2699,4505,-3578,-32000,488,-16000,12000,38000,11000,-4642,32920000000,10000,3,517.82,2
6,1,1,14,1,2,2.0,seed,1,36000,13000,1358,0,323,-34000,-49000,-34000,-38000,16000,17000,-4369,-23000,2360000000,13000,4,163.89,12
6,3,1,160,1,3,3.3,seed,76,11000,50000,40000,75000,40000,-53000,-115000,-32000,-25000,196000,198000,42000,24000,16490000000,10000,8,-118.18,5
1,2,1,97,1,2,0.0,pre-A,61,6587,40000,530000,167000,530000,8355,3380,8679,13000,214000,275000,63000,91000,86750000000,20000,5,-1281.51,5
2,1,2,112,1,1,0.0,seed,15,1000,4000,4784,1879,4784,-9053,-15000,-7622,-8054,12000,4644,327,-7727,23280000000,4000,3,872.7,1
13,5,3,47,1,6,3.0,pre-A,193,15000,150000,25000,18000,25000,-32000,-45000,-5573,5088,74000,78000,11000,15000,5990000000,30000,7,0.0,7
7,1,1,17,1,1,2.0,seed,60,10000,10000,53000,22000,50000,-12000,-40000,-3119,-37000,17000,18000,754,-31000,2070000000,10000,4,410.0,5
14,2,1,119,1,2,0.0,seed,33,5555,60000,19000,11000,19000,-5329,-19000,-5259,-2231,10000,16000,3406,1174,270000000,10000,5,78.87,4
2,1,2,66,1,2,2.0,seed,70,10000,100000,112000,40000,138000,-36000,19000,-22000,18000,57000,105000,-12000,5956,25540000000,10000,6,40.44,1
34,2,2,39,1,6,4.4,pre-A,66,38000,350000,498000,101000,247000,3729,7257,9445,17000,230000,321000,92000,135000,5230000000,350000,6,-255.26,5
14,1,12,15,1,2,3.0,pre-A,3,56000,40000,64000,56000,47000,-15000,5755,1218,2012,176000,172000,44000,46000,34530000000,40000,7,17.86,4
9,5,3,129,1,7,2.0,pre-A,16,6481,78000,295,5080,295,-26000,-42000,1678,-31000,89000,85000,42000,10000,2110000000,19000,4,-54.3,5
35,1,1,8,1,1,4.1,pre-A,1,325000,100000,987000,663000,953000,23000,83000,-35000,117000,971000,1196000,-3482000,-3365000,5650000000,100000,19,1135.38,8
67,4,2,20,1,4,3.0,pre-A,55,56000,230000,2376000,1885000,1976000,40000,26000,25000,24000,1166000,1458000,566000,566000,2680000000,100000,14,-910.71,5
1,1,1,100,2,1,0.0,seed,30,47000,30000,32000,51000,43000,12000,8328,9547,7627,41000,46000,15000,23000,3110000000,30000,8,51.06,12
15,3,1,39,2,5,0.0,pre-A,126,1315,200000,96000,61000,21000,-40000,-20000,-37000,-22000,22000,26000,-35000,-32000,2070000000,50000,5,2533.46,8
17,2,1,44,1,3,0.0,pre-A,196,134,90000,147000,3112,44000,653,-5133,1802,3740,7503,38000,6902,35000,19620000000,90000,3,-26019.4,8
243,3,1,36,1,5,0.0,pre-A,286,1052,400000,3603000,202000,1020000,-38000,-63000,-26000,-22000,131000,644000,34000,261000,16490000000,250000,5,-24709.89,12
12,3,2,160,1,3,0.0,pre-A,76,1182,40000,222000,76000,222000,-27000,-3903,-10000,1742,56000,79000,1082,2825,3279999999,10000,6,-139.0,8
82,2,3,6,1,4,2.6,pre-A,64,79000,400000,921000,648000,539000,25000,-35000,33000,-41000,417000,842000,143000,282000,3640000000,300000,6,-256.96,5
20,2,1,60,1,7,0.0,pre-A,27,3956,153000,113000,0,23000,-1793,-43000,-1766,-31000,2665,63000,1233,22000,80430000000,100000,3,-456.12,8
13,3,1,27,1,4,0.0,pre-A,50,13000,480000,38000,4300,11000,-5342,-16000,300,1305,42000,97000,652,31000,36190000000,250000,4,-138.46,8
32,3,1,48,1,6,0.0,pre-A,75,5281,280000,25000,11000,25000,-11000,-49000,-6723,-9233,34000,57000,4551,25000,21430000000,250000,5,-373.4,12
23,1,7,33,1,1,0.0,pre-A,15,10000,170000,295000,238000,229000,57000,52000,64000,59000,241000,315000,117000,176000,310070000000,170000,9,-1660.0,12
10,3,1,68,1,3,0.0,pre-A,36,282,250000,46000,240,10000,-13000,-38000,-11000,-16000,20000,33000,4365,17000,1010000000,220000,6,-5928.37,12
13,5,1,167,1,7,0.0,pre-A,332,3857,200000,164000,106000,125000,-111000,-105000,-97000,-106000,73000,40000,9370,-97000,23280000000,50000,5,2614.91,5
14,3,1,93,1,9,2.0,pre-A,67,12000,100000,5817,974,3429,-23000,-20000,-14000,-9699,62000,86000,2051,14000,12990000000,80000,4,-16.67,9
40,5,1,27,1,9,0.0,pre-B,82,224000,330000,118000,34000,87000,-75000,-37000,-325000,-43000,238000,186000,-486000,-529000,173320000000,80000,8,336.16,1
9,2,1,159,1,4,0.0,pre-A,103,7302,40000,3276,17000,21000,-1326,-31000,689,-7897,24000,26000,5804,-3683,3150000000,20000,4,150.44,7
14,3,1,43,1,5,0.0,pre-A,19,44000,150000,10000,46000,5033,13000,-56000,11000,-53000,57000,160000,41000,41000,173320000000,30000,3,6.82,5
8,1,1,43,2,1,0.0,seed,15,12000,30000,21,0,21,-2934,-22000,-3015,-16000,40000,54000,3101,16000,16490000000,30000,5,-33.33,9
18,4,3,81,1,7,4.0,pre-A,59,104000,160000,64000,909,96000,-21000,-63000,-16000,-56000,9290,64000,8638,-23000,409999999,110000,3,122.12,12
16,3,3,68,1,5,2.4,pre-A,74,7851,250000,41000,83000,9280,20000,-137000,28000,-102000,65000,161000,20000,123000,34530000000,200000,6,-1466.68,12
8,2,1,91,1,2,0.0,pre-A,4,6250,85000,324000,162000,229000,-15000,-31000,-14000,-30000,11000,118000,-41000,13000,3279999999,24000,5,-108.0,10
12,2,1,9,1,2,2.0,seed,16,23000,4000,241000,94000,241000,25000,122000,26000,115000,42000,167000,34000,149000,16490000000,4000,6,-547.83,10
38,2,1,26,1,2,0.0,pre-A,31,7645,120000,863000,510000,863000,-59000,-120000,-59000,-109000,138000,281000,2066,-7711,3279999999,70000,4,200.86,12
8,2,1,130,1,2,2.5,seed,2,115000,100000,12000,47000,12000,-11000,-60000,-6824,-54000,124000,186000,114000,59000,3279999999,50000,5,48.7,7
13,1,1,34,1,1,0.0,seed,2,13000,40000,307000,8131,160000,-23000,-1832,-21000,709,33000,74000,30000,31000,34530000000,40000,3,-138.46,7
9,1,2,93,1,1,2.0,seed,1,1097,8000,88000,98000,80000,2319,-7771,3220,-7135,59000,76000,9266,2130,710000000,8000,8,-94.17,9
8,2,6,15,1,3,2.0,pre-A,16,1000,120000,1129,0,1129,-11000,-26000,-2390,-8908,9690,21000,-1390,-10000,3279999999,90000,3,1100.0,2
8,5,2,30,1,6,0.0,pre-A,199,15000,50000,24000,24,2402,-19000,-26000,-17000,-14000,3922,20000,1857,17000,310070000000,0,3,-13.33,12
12,3,1,63,1,5,0.0,pre-A,76,5700,100000,67,1045,0,-10000,-33000,-10000,-28000,9433,72000,-9991,57000,34530000000,70000,3,-900.0,8
40,2,1,33,1,6,0.0,pre-A,193,1500,1000000,17000,18000,17000,-17000,-136000,-15000,-44000,90000,961000,84000,939000,16619999999,1000000,4,-62500.0,10
6,1,1,140,1,4,0.0,pre-A,7,9269,2300000,99000,39000,99000,-134000,-198000,-128000,-188000,70000,153000,17000,58000,21000000000,2300000,4,-525.74,12
49,1,1,72,1,1,0.0,pre-A,2,1495,300000,142000,0,6352,-26000,-140000,-26000,-137000,3266,276000,-3636,229000,1950000000,300000,3,-15217.73,7
23,1,1,50,1,3,5.0,seed,17,9133,300000,72000,11000,43000,-128000,-167000,-115000,-154000,115000,360000,27000,272000,93226000,300000,9,-2878.21,7
17,4,1,31,1,6,0.0,seed,76,70000,180000,193000,8329,409000,-44000,-125000,-22000,-90000,47000,38000,46000,10000,590000000,50000,5,85.71,12
51,3,3,35,1,5,2.0,pre-A,25,16000,260000,401000,222000,690000,6572,41000,12000,42000,331000,456000,302000,355000,1390000000,200000,8,-2118.75,12
2,3,3,307,3,5,0.0,pre-A,6,239000,520000,721000,0,721000,-6220,-227000,-6220,-221000,2576,406000,-1220,276000,80430000000,330000,3,-15.48,8
15,2,1,120,1,3,2.0,pre-A,43,1280,160000,34000,33,19000,-6509,-52000,-835,-23000,22000,71000,125,6588,5240000000,160000,5,-414.69,10
12,1,1,41,1,1,0.0,seed,61,10000,100000,30000,4267,30000,-5549,-6451,-5448,2124,3944,158000,3434,105000,26650000000,100000,3,-950.0,12
6,3,2,386,1,4,0.0,pre-A,226,4473,240000,25000,13000,5361,-38000,-49000,-26000,-44000,36000,22000,11000,-16000,2100000000000,80000,5,457.7,12
7,2,1,0,1,2,4.0,pre-A,75,133,40000,1410,0,3437,-4541,-30000,-4629,-30000,25000,108000,15000,85000,34530000000,20000,3,-63809.77,8
37,1,1,52,1,1,0.0,pre-A,25,14000,100000,1503000,3153,85000,-113000,-298000,-106000,-276000,28000,143000,-35000,-202000,74170000000,100000,3,1542.86,10
31,4,1,32,1,7,5.0,pre-B,138,9698,1080000,34000,0,0,-155000,-327000,-143000,-325000,520000,355000,422000,97000,5240000000,450000,5,-900.21,10
9,1,3,76,1,1,0.0,seed,60,1000,80000,127000,5093,127000,325,10000,125,10000,1102,14000,325,11000,23000000000,80000,3,-1000.0,9
9,2,1,10,1,3,0.0,pre-A,41,21000,50000,34000,2601,11000,-24000,-35000,-21000,-18000,30000,42000,-1051,10000,34530000000,30000,4,52.38,9
10,1,1,31,1,1,0.0,seed,1,12000,50000,92000,10000,21000,-2850,-55000,-2918,-48000,23000,67000,7081,18000,1570000000,50000,3,-50.0,12
61,3,2,159,1,4,2.0,seed,63,8280,190000,197000,54000,172000,-31000,-84000,-17000,-61000,178000,188000,158000,127000,41890000000,150000,4,-1433.82,9
9,1,1,10,2,2,0.0,seed,100,8139,35000,33000,0,5690,-206,-35000,-205,-23000,42000,18000,41000,18000,16490000000,35000,3,-121.16,10
8,1,1,0,1,1,3.0,seed,1,3360,30000,12000,695,16000,-34000,-42000,-8653,-4284,26000,13000,13000,9337,29639999999,30000,6,-177.89,9
6,1,2,43,1,2,2.0,pre-A,61,36000,50000,232000,145000,128000,-230000,-163000,-232000,-160000,38000,8966,-97000,-257000,13919999999,50000,8,813.89,12
15,2,1,15,1,3,0.0,pre-A,12,1200,255000,21000,750,21000,-8670,-51000,-7292,-18000,5048,23000,-6292,-4609,710000000,100000,3,484.08,10
21,3,1,10,1,5,0.0,pre-A,93,1075,192000,2566,0,2566,-4610,-36000,-4608,-36000,3653,23000,3391,-8209,120000000,160000,3,863.63,12
10,1,4,100,1,4,2.3,seed,8,20000,140000,78000,32000,78000,1627,10000,1545,35000,92000,247000,22000,68000,8808000,140000,3,-240.0,5
10,3,1,82,0,9,0.0,seed,218,150,650000,11000,0,4452,-86000,-155000,-11000,-155000,9153,133000,-12000,-168000,2510000000,600000,4,112100.0,9
73,2,3,29,1,2,2.6,seed,2,150000,14000,1163000,605000,435000,-512000,-1109000,-601000,-1224000,307000,1896000,-217000,430000,1950000000,4200,10,-186.67,5
8,1,2,116,1,1,4.0,pre-A,15,32000,100000,151000,190000,160000,-28000,-27000,-9897,-19000,112000,122000,53000,34000,25480000000,100000,12,-6.25,9
28,2,4,17,1,2,0.0,seed,61,15000,5500,160000,106000,147000,190,-27000,4848,-15000,74000,77000,35000,19000,260000000,2700,12,-26.67,10
7,1,3,0,1,1,4.0,seed,1,77000,4800,84000,4849,39000,-68000,-34000,-68000,-35000,35000,22000,-15000,-34000,2510000000,4800,4,144.16,10
17,1,1,35,1,1,2.0,seed,60,26000,1000,301000,125000,159000,9048,7045,11000,14000,98000,140000,28000,42000,710000000,1000,5,-61.54,7
3,1,2,66,1,1,0.0,seed,60,2594,1000,32000,1622,6113,-56000,-20000,-44000,-18000,13000,22000,-16000,-14000,34530000000,1000,4,639.71,10
3,1,1,32,2,2,0.0,seed,92,5970,100000,69000,50000,69000,-50000,-29000,-43000,-27000,209000,275000,36000,9182,310070000000,100000,5,-53.8,10
11,2,1,51,1,3,2.0,seed,41,36000,80000,41000,48000,188000,-113000,-123000,-108000,-153000,43000,23000,-198000,-95000,2160000000,30000,7,363.89,9
1,1,1,100,1,1,0.0,seed,30,4835,2000,25000,39000,25000,-643,-2651,2387,-1263,40000,42000,-9326,-10000,7670000000,2000,7,306.83,7
19,2,0,21,1,2,2.0,seed,70,32000,100000,203000,101000,203000,-69000,-101000,3361,7958,133000,176000,70000,77000,20770000000,50000,12,-140.62,6
2,2,1,100,1,5,2.5,pre-A (추정),19,60000,180000,22000,24000,22000,1128,1973,87,-844,375000,369000,60000,59000,1950000000,90000,12,1.67,12
3,1,1,100,1,1,0.0,seed,1,4300,15000,5717,3610,5717,-604,214,-503,469,9339,12000,-2186,-1716,46330000000,15000,7,139.91,12
1,1,1,100,1,2,4.0,seed,70,22000,5003,7821,13000,7821,-34000,-26000,-7510,-10000,37000,28000,14000,4241,69640000000,5003,7,80.72,6
3,3,2,55,1,1,3.4,seed,90,13000,20000,70000,36000,70000,-1010,-9151,1997,-10000,119000,104000,49000,38000,59890000000,10000,10,-192.31,6
6,1,1,33,1,1,0.0,seed,60,2000,2300,4100,4325,4100,-471,-23000,-637,-17000,29000,23000,1913,-15000,1190000000,2300,8,850.0,7
7,2,3,27,1,2,2.3,seed,61,10000,10000,27000,9590,27000,-8082,-853,-7457,-705,17000,30000,-5540,754,110000000,10000,4,92.46,5
14,1,1,63,1,2,3.8,seed,12,49000,80000,156000,14000,156000,-22000,15000,-21000,29000,118000,267000,-13000,56000,69640000000,80000,4,-14.29,1
4,3,1,62,1,3,0.0,pre-A,63,30000,50000,19000,20000,19000,-21000,-9993,-12000,-5918,8140,35000,291,9297,16019999999,50000,4,69.01,9
4,1,1,71,1,1,0.0,seed,1,3740,20000,3882,0,3882,-5184,-1079,-29,-708,717,4618,430,2497,4890000000,20000,4,33.24,7
17,1,0,24,1,1,0.0,seed,1,20000,20000,64000,51000,64000,-41000,-11000,1191,-21000,128000,155000,8549,46000,77820000000,20000,5,-130.0,5
3,1,3,58,1,2,2.7,seed,11,11000,30000,1260,0,1260,-16000,-20000,130,-18000,34000,46000,14000,26000,17354000,30000,5,-136.36,4
7,2,1,15,1,2,2.7,seed,40,12000,100000,0,0,0,-34000,-78000,-26000,-43000,18000,40000,6860,-14000,2160000000,50000,5,216.67,10
8,1,6,17,1,1,0.0,seed,1,101,1000,11000,27000,11000,130,-8118,98,1556,17000,29000,198,2754,2590000000,1000,3,-2626.73,5
10,1,2,42,1,1,0.0,seed,1,13000,100000,264000,104000,264000,-16000,23000,6533,180,413000,711000,10000,126000,1950000000,100000,5,-869.23,7
2,1,1,100,1,1,2.0,seed,1,6666,10000,0,551,0,-15000,-10000,-15000,-10000,10000,13000,-26000,-22000,4260000000,10000,6,430.03,0
3,2,1,67,1,1,0.0,seed,60,561,100000,450,0,450,-577,-37000,-576,-13000,11000,8151,9854,-4030,25490000000,50000,3,818.36,5
2,2,1,33,1,2,2.0,seed,2,4588,23000,18000,19000,18000,3058,-363,819,216,105000,126000,32000,32000,59890000000,20000,6,-597.47,1
3,1,1,33,1,1,3.3,seed,1,23000,1000000,46000,35000,46000,-10000,-5012,-13000,-4886,56000,49000,-11000,-16000,3640000000,1000000,10,169.57,7
17,2,1,48,1,3,0.0,pre-A,70,6981,250000,4055,908,4055,-4243,-55000,-86,-40000,7478,228000,5913,215000,34530000000,200000,3,-2979.79,6
23,2,2,53,1,4,0.0,seed,18,22000,100000,4528,12000,4528,8423,-40000,7057,-24000,19000,66000,17000,62000,76980000000,50000,3,-181.82,8
27,2,1,104,1,6,0.0,pre-A,156,6620,85000,11000,0,11000,-3863,-53000,-3837,-42000,9916,86000,-837,23000,28139999999,50000,3,-247.43,12
